sample	schema	purist_linear_score	purist_probability_basal	purist_subtype	purist_graded_call	TSP1	TSP2	TSP3	TSP4	TSP5	TSP6	TSP7	TSP8
TCGA-OE-A75W-01	PurIST_Moffitt_tumor_intrinsic	-3.825	0.0213525561610206	classical	strong_classical	0	0	0	0	0	0	1	1
TCGA-2J-AABV-01	PurIST_Moffitt_tumor_intrinsic	-4.31	0.0132554814270988	classical	strong_classical	0	0	0	0	0	0	1	0
TCGA-FB-A5VM-01	PurIST_Moffitt_tumor_intrinsic	4.728	0.991233391480979	basal_like	strong_basal_like	1	1	1	1	1	1	1	1
TCGA-2J-AABE-01	PurIST_Moffitt_tumor_intrinsic	-5.401	0.00449179932142955	classical	strong_classical	0	0	0	0	0	1	0	1
TCGA-2J-AABF-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-HZ-8519-01	PurIST_Moffitt_tumor_intrinsic	-5.893	0.00275109878201431	classical	strong_classical	0	0	0	1	0	0	0	0
TCGA-IB-7890-01	PurIST_Moffitt_tumor_intrinsic	4.728	0.991233391480979	basal_like	strong_basal_like	1	1	1	1	1	1	1	1
TCGA-US-A77E-01	PurIST_Moffitt_tumor_intrinsic	-5.886	0.00277037049485031	classical	strong_classical	0	0	0	0	0	1	0	0
TCGA-HV-A7OP-01	PurIST_Moffitt_tumor_intrinsic	-5.893	0.00275109878201431	classical	strong_classical	0	0	0	1	0	0	0	0
TCGA-HZ-7918-01	PurIST_Moffitt_tumor_intrinsic	-6.33	0.00177886377378597	classical	strong_classical	0	0	0	0	0	0	0	1
TCGA-HZ-A4BK-01	PurIST_Moffitt_tumor_intrinsic	-4.268	0.0138162126750525	classical	strong_classical	0	0	1	0	0	1	0	0
TCGA-2J-AAB8-01	PurIST_Moffitt_tumor_intrinsic	-5.197	0.00550269180497639	classical	strong_classical	0	0	1	0	0	0	0	0
TCGA-2J-AABK-01	PurIST_Moffitt_tumor_intrinsic	-6.33	0.00177886377378597	classical	strong_classical	0	0	0	0	0	0	0	1
TCGA-3E-AAAZ-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-FB-AAPP-01	PurIST_Moffitt_tumor_intrinsic	-5.197	0.00550269180497639	classical	strong_classical	0	0	1	0	0	0	0	0
TCGA-FB-AAPY-01	PurIST_Moffitt_tumor_intrinsic	-6.33	0.00177886377378597	classical	strong_classical	0	0	0	0	0	0	0	1
TCGA-HZ-7920-01	PurIST_Moffitt_tumor_intrinsic	-3.862	0.0205929208220282	classical	strong_classical	0	1	0	1	0	0	0	0
TCGA-IB-A5SO-01	PurIST_Moffitt_tumor_intrinsic	-5.401	0.00449179932142955	classical	strong_classical	0	0	0	0	0	1	0	1
TCGA-F2-6880-01	PurIST_Moffitt_tumor_intrinsic	-5.408	0.00446060628222613	classical	strong_classical	0	0	0	1	0	0	0	1
TCGA-HV-A7OL-01	PurIST_Moffitt_tumor_intrinsic	-3.825	0.0213525561610206	classical	strong_classical	0	0	0	0	0	0	1	1
