dataset	method	module	n_control	n_tumor	mean_control	mean_tumor	logFC	p	auc	fdr
GSE16515	gsva_ssgsea	b_cell	16	36	0.1088520288552662	0.0958682815108397	-0.0129837473444265	0.8985505020141774	0.4878472222222222	0.9584538688151224
GSE16515	gsva_ssgsea	endothelial	16	36	0.2932693904415346	0.242602427495862	-0.0506669629456725	0.0477757756021036	0.3263888888888889	0.0764412409633657
GSE16515	gsva_ssgsea	ductal_epithelial	16	36	0.4192524043109921	0.5264690490472488	0.1072166447362566	2.3371171886291433e-10	0.9704861111111112	5.609081252709944e-09
GSE16515	gsva_ssgsea	acinar_normal	16	36	0.5448965549944329	0.4160612821321284	-0.1288352728623044	0.0124829780770397	0.2829861111111111	0.0226106772716191
GSE16515	gsva_ssgsea	endocrine_normal	16	36	0.5825970718924905	0.3918845342822592	-0.1907125376102313	0.0020858107827261	0.2361111111111111	0.004767567503374
GSE16515	marker_zscore	caf_fibroblast	16	36	-0.5188247863781708	0.2305887939458535	0.7494135803240243	0.0433456391040739	0.6770833333333334	0.0717445061032948
GSE16515	marker_zscore	immune_myeloid	16	36	-0.3460468295910953	0.1537985909293755	0.4998454205204709	0.3399151634881579	0.5850694444444444	0.4729254448530893
GSE16515	marker_zscore	t_cell	16	36	-0.1561647302373932	0.0694065467721749	0.2255712770095682	0.6305755102794155	0.5434027777777778	0.7626650694503865
GSE16515	marker_zscore	b_cell	16	36	0.1168316414482655	-0.0519251739770069	-0.1687568154252724	0.6305755102794155	0.4565972222222222	0.7626650694503865
GSE16515	marker_zscore	endothelial	16	36	0.3234671054707823	-0.1437631579870142	-0.4672302634577965	0.05775247344454	0.3333333333333333	0.0908891385356696
GSE16515	marker_zscore	ductal_epithelial	16	36	-0.8137876123244642	0.3616833832553174	1.1754709955797815	6.716075818686555e-10	0.9635416666666666	1.2894865571878184e-08
GSE16515	marker_zscore	acinar_normal	16	36	0.4515966436523571	-0.2007096194010476	-0.6523062630534047	0.0086645956991036	0.2725694444444444	0.0163098271983127
GSE16515	marker_zscore	endocrine_normal	16	36	0.4928949121667027	-0.2190644054074235	-0.7119593175741262	0.0029919058303568	0.2447916666666666	0.006679603714285
GSE71989	gsva_ssgsea	caf_fibroblast	8	13	0.2943892808241909	0.6033626804664987	0.3089733996423077	0.00011794191360754829	0.9615384615384616	0.00037741412354415447
GSE71989	gsva_ssgsea	immune_myeloid	8	13	0.3157841655823696	0.5451660332650544	0.2293818676826847	0.00018674136321195143	0.9519230769230768	0.0005602240896358543
